,city,century,Income ($)
0,Port Vila,20,20900
1,Fort-de-France,20,9300
2,Sanaa,20,5400
3,Lome,20,11600
4,Luanda,20,9300
5,Juba,20,34400
6,Lima,20,34400
7,Juba,20,24100
8,Chisinau,20,9300
9,Willemstad,19,12400
10,Astana,20,6500
11,Dili,20,9000
12,Minsk,20,3100
13,Male,19,6500
14,Taipei,19,9300
15,Baghdad,20,9300
16,Mariehamn,20,11600
17,Nouakchott,19,24100
18,Noumea,19,43100
19,Juba,20,9300
20,Windhoek,19,11600
21,Marigot,20,20900
22,Algiers,19,9300
23,Longyearbyen,20,9300
24,San Juan,20,11600
25,Bratislava,20,5400
26,New Delhi,20,11600
27,Ottawa,19,20900
28,Nouakchott,19,5400
29,Bratislava,19,12400
30,Dushanbe,20,25800
31,Prague,20,9300
32,Castries,20,9300
33,Port-aux-Francais,19,9300
34,San Marino,19,5400
35,Moroni,19,25800
36,Funafuti,20,22200
37,Phnom Penh,19,12400
38,Bridgetown,20,20900
39,Fort-de-France,20,34400
40,Macao,20,9000
41,Gustavia,20,9300
42,Porto-Novo,20,34700
43,Kigali,20,9300
44,Tunis,20,17200
45,Ulan Bator,20,9000
46,Sofia,20,9300
47, Africa,21,34400
48,Suva,20,9300
49,The Valley,20,22200
50,Ouagadougou,19,11600
51,Ljubljana,20,17200
52,Berlin,20,22200
53,Brasilia,20,17200
54,Nairobi,20,22200
55,Belmopan,19,17200
56,Reykjavik,20,11600
57,Brazzaville,19,11600
58,Khartoum,20,12400
59,Buenos Aires,20,12400
60,Doha,20,9300
61,Astana,20,3100
62,Fort-de-France,19,22200
63,Paramaribo,20,34400
64,Kiev,20,11600
65,Dodoma,20,11600
66,Kabul,20,22200
67,The Valley,20,9300
68,Philipsburg,19,25800
69,Dublin,20,43100
70,Brussels,19,17200
71,Amman,20,3100
72,Yaounde,20,20900
73,Minsk,19,20900
74,Vaduz,20,6500
75,Nuku'alofa,20,20900
76,Niamey,20,12400
77,Bandar Seri Begawan,20,6500
78,Sanaa,20,6500
79,Berlin,20,11600
80,Charlotte Amalie,20,9300
81,Pyongyang,20,12400
82,Port-au-Prince,20,6500
83,San Jose,20,9300
84,Abu Dhabi,19,42800
85,Damascus,19,3100
86,N'Djamena,19,9300
87,Lome,18,34400
88,Avarua,20,17200
89,Port-au-Prince,19,11600
90,Berlin,20,25800
91,Addis Ababa,20,17200
92,Suva,20,9000
93,George Town,19,12400
94,San Marino,20,17200
95,Yerevan,20,12400
96,Quito,20,12400
97,Tashkent,20,17200
98,Brasilia,20,22200
99,Rome,19,9300
100,Basse-Terre,20,34400
101,Cayenne,19,9000
102,Port-aux-Francais,19,11600
103,Tehran,20,17200
104,Nicosia,20,11600
105,Kiev,20,9300
106,West Island,20,17200
107,San Juan,19,22200
108,Bandar Seri Begawan,20,17200
109,Mogadishu,20,22200
110,Nassau,20,17200
111,Nuuk,20,3100
112,Port-aux-Francais,20,6500
113,Riga,20,17200
114,Cockburn Town,19,17200
115,Pago Pago,20,9300
116,Charlotte Amalie,20,20900
117,Georgetown,20,17200
118,London,20,9300
119,Stockholm,19,5400
120,Skopje,19,6500
121,Manila,20,11600
122,Saint-Denis,20,9300
123,Cayenne,20,17200
124,Beijing,20,22200
125,Dhaka,20,20900
126,Brasilia,20,5400
127,"Douglas, Isle of Man",20,6500
128,Bangui,19,9000
129,Prague,20,6500
130,"Douglas, Isle of Man",19,5400
131,Bujumbura,20,9000
132,Hong Kong,20,9000
133,Banjul,20,9300
134,Buenos Aires,20,22200
135,Praia,20,22200
136,Antananarivo,20,9300
137,Road Town,20,9300
138,Podgorica,19,11600
139,Hagatna,20,9000
140,New Delhi,20,34400
141,New Delhi,20,9000
142,Canberra,19,49000
143,Torshavn,20,20900
144,Vaduz,20,11600
145,Saipan,20,5400
146,Madrid,19,17200
147,Maseru,20,17200
148,Ottawa,20,11600
149,Monaco,20,6500
150,Helsinki,20,9300
151,Riga,20,24100
152,Port Moresby,20,9300
153,Bissau,20,6500
154,Castries,20,11600
155,Montevideo,19,45500
156,St. George's,20,9000
157,Guatemala City,20,9300
158,Khartoum,20,9300
159,Moroni,19,9300
160,Abuja,19,11600
161,Nicosia,21,11600
162,Djibouti,20,42800
163,Tbilisi,19,9300
164,Oranjestad,19,12400
165,Tehran,19,17200
166,Castries,20,9300
167,Ashgabat,20,9300
168,The Valley,20,17200
169,Bissau,20,20900
170,Colombo,20,42800
171,Tallinn,20,17200
172,Saint Helier,20,3100
173,Maseru,19,22200
174,Bangkok,20,24100
175,Malabo,20,42800
176,Brasilia,19,9300
177,Amman,20,22200
178,Riga,20,11600
179,Lilongwe,20,3100
180,Colombo,19,20900
181,Madrid,19,9300
182,St. George's,20,12400
183,Ottawa,19,9000
184,Maseru,19,9300
185,London,20,22200
186,Saint-Denis,20,11600
187,Ulan Bator,20,9000
188,Accra,20,9300
189,Port Moresby,20,11600
190,Dodoma,20,38600
